"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00484065","GREEN RIVER, WY US","1924-01-01",,"9.4","-28.3",
"USC00484065","GREEN RIVER, WY US","1924-01-02",,"-18.9","-28.9",
"USC00484065","GREEN RIVER, WY US","1924-01-03",,"-6.7","-23.9",
"USC00484065","GREEN RIVER, WY US","1924-01-04",,"-1.7","-18.3",
"USC00484065","GREEN RIVER, WY US","1924-01-05",,"-2.2","-21.1",
"USC00484065","GREEN RIVER, WY US","1924-01-06",,"1.7","-21.1",
"USC00484065","GREEN RIVER, WY US","1924-01-07",,"-1.1","-21.7",
"USC00484065","GREEN RIVER, WY US","1924-01-08",,"-2.2","-21.7",
"USC00484065","GREEN RIVER, WY US","1924-01-09",,"-5.6","-16.7",
"USC00484065","GREEN RIVER, WY US","1924-01-10",,"-0.6","-16.1",
"USC00484065","GREEN RIVER, WY US","1924-01-11",,"-1.7","-6.1",
"USC00484065","GREEN RIVER, WY US","1924-01-12",,"-6.7","-21.1",
"USC00484065","GREEN RIVER, WY US","1924-01-13",,"-2.2","-20.0",
"USC00484065","GREEN RIVER, WY US","1924-01-14",,"-1.1","-15.6",
"USC00484065","GREEN RIVER, WY US","1924-01-15",,"-5.0","-13.3",
"USC00484065","GREEN RIVER, WY US","1924-01-16",,"-1.7","-12.8",
"USC00484065","GREEN RIVER, WY US","1924-01-17",,"-3.3","-17.8",
"USC00484065","GREEN RIVER, WY US","1924-01-18",,"-3.3","-14.4",
"USC00484065","GREEN RIVER, WY US","1924-01-19",,"-0.6","-16.7",
"USC00484065","GREEN RIVER, WY US","1924-01-20",,"-6.1","-22.8",
"USC00484065","GREEN RIVER, WY US","1924-01-21",,"-2.2","-22.8",
"USC00484065","GREEN RIVER, WY US","1924-01-22",,"2.8","-17.8",
"USC00484065","GREEN RIVER, WY US","1924-01-23",,"5.0","-18.3",
"USC00484065","GREEN RIVER, WY US","1924-01-24",,"2.8","-14.4",
